what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Oracle Corporation",1515906857880
java.specification.version,sysinfo,,,"1.8",1515906857880
java.vendor,sysinfo,,,"Oracle Corporation",1515906857880
java.version,sysinfo,,,"1.8.0_151",1515906857880
java.vm.info,sysinfo,,,"mixed mode",1515906857880
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1515906857880
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1515906857880
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1515906857880
java.vm.specification.version,sysinfo,,,"1.8",1515906857880
java.vm.vendor,sysinfo,,,"Oracle Corporation",1515906857880
java.vm.version,sysinfo,,,"25.151-b12",1515906857880
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1515906870014
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1515906870030
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100529-0735,"org.eclipse.ecf.filetransfer",1515906871016
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100529-0735,"org.eclipse.ecf.identity",1515906871047
started,bundle,org.eclipse.ecf,3.1.0.v20100529-0735,"org.eclipse.ecf",1515906871079
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer.httpclient",1515906871094
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer",1515906871094
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515906872079
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.0.v20100518,"org.eclipse.equinox.p2.extensionlocation",1515906883460
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.200.v20100503,"org.eclipse.equinox.p2.updatesite",1515906884056
started,bundle,org.eclipse.equinox.p2.publisher,1.1.0.v20100513,"org.eclipse.equinox.p2.publisher",1515906884056
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515907002386
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1515907002421
started,bundle,org.eclipse.epp.mpc.ui,1.0.0.v20100611-0430,"org.eclipse.epp.mpc.ui",1515907005613
